"id","分類","機能名","概要","入力","出力","利用者"
"fun-001","認証","ログイン","ユーザーがシステムにログインできるようにする。","ユーザー名、パスワード","認証トークン、ユーザー情報","ユーザー"
"fun-002","認証","ログアウト","ユーザーがシステムからログアウトできるようにする。","認証トークン","セッション終了","ユーザー"
"fun-003","ユーザー管理","ユーザー登録","新しいユーザーをシステムに登録できるようにする。","ユーザー名、パスワード、メールアドレス、権限","ユーザーアカウント作成","管理者"
"fun-004","ユーザー管理","ユーザー情報編集","既存のユーザーの情報を編集できるようにする。","ユーザーID、編集内容","ユーザー情報更新","管理者、ユーザー"
"fun-005","ユーザー管理","ユーザー削除","ユーザーをシステムから削除できるようにする。","ユーザーID","ユーザーアカウント削除","管理者"
"fun-006","競技会管理","競技会登録","新しい競技会をシステムに登録できるようにする。","競技会名、開催日、場所","競技会情報登録","管理者"
"fun-007","競技会管理","競技会情報編集","既存の競技会の情報を編集できるようにする。","競技会ID、編集内容","競技会情報更新","管理者"
"fun-008","競技会管理","競技会削除","競技会をシステムから削除できるようにする。","競技会ID","競技会情報削除","管理者"
"fun-009","コース管理","コース作成","新しいコースをシステムに作成できるようにする。","コース名、レイアウト","コース情報登録","管理者"
"fun-010","コース管理","コース編集","既存のコースを編集できるようにする。","コースID、編集内容","コース情報更新","管理者"
"fun-011","コース管理","コース削除","コースをシステムから削除できるようにする。","コースID","コース情報削除","管理者"
"fun-012","審判管理","審判登録","新しい審判をシステムに登録できるようにする。","審判名、資格","審判情報登録","管理者"
"fun-013","審判管理","審判情報編集","既存の審判の情報を編集できるようにする。","審判ID、編集内容","審判情報更新","管理者"
"fun-014","審判管理","審判削除","審判をシステムから削除できるようにする。","審判ID","審判情報削除","管理者"
"fun-015","割り当て","審判割り当て","競技会に審判を割り当てる。","競技会ID、審判ID","割り当て情報登録","管理者"
"fun-016","割り当て","コース割り当て","競技会にコースを割り当てる。","競技会ID、コースID","割り当て情報登録","管理者"
"fun-017","採点","採点入力","競技の結果を入力する。","競技会ID、コースID、審判ID、選手ID、点数","採点情報登録","審判"
"fun-018","採点","採点結果確認","過去の採点結果を確認する。","競技会ID、コースID、審判ID、選手ID","採点情報表示","管理者、審判"
"fun-019","集計","結果集計","競技の結果を集計する。","競技会ID","集計結果","管理者"
"fun-020","集計","ランキング表示","競技のランキングを表示する。","競技会ID","ランキング情報","管理者、ユーザー"
"fun-021","表示","個人成績表示","個人の成績を表示する。","選手ID","個人成績情報","ユーザー"
"fun-022","表示","競技会一覧表示","開催予定、開催済みの競技会を一覧表示する。","なし","競技会リスト","ユーザー"
"fun-023","管理","システム設定","システム全体の各種設定を行う。","設定項目、設定値","設定変更","管理者"
"fun-024","管理","ログ出力","システム内の操作ログを出力する。","期間、ユーザー","ログデータ","管理者"
"fun-025","割り当て","コース・審判の組み合わせ確認","競技会におけるコースと審判の割り当て状況を確認する。","競技会ID","コース・審判割り当てリスト","管理者"
"fun-026","採点","リアルタイム採点","競技中にリアルタイムで採点状況を更新・表示する。","競技会ID, コースID","リアルタイム採点データ","審判、観客"
"fun-027","集計","コース別成績集計","コースごとの成績を集計する。","競技会ID, コースID","コース別集計結果","管理者"
"fun-028","集計","審判別採点傾向分析","審判ごとの採点傾向を分析する。","競技会ID, 審判ID","採点傾向分析結果","管理者"
"fun-029","表示","過去の競技会結果参照","過去に開催された競技会の結果を参照する。","競技会ID","過去の競技会結果","ユーザー"
"fun-030","管理","データバックアップ","システムデータのバックアップを行う。","バックアップ設定","バックアップファイル","管理者"
"fun-031","コース管理","コースプレビュー","コースのレイアウトをプレビュー表示する。","コースID","コースレイアウトプレビュー","管理者"
"fun-032","審判管理","審判資格管理","審判の資格情報を管理する。","審判ID、資格情報","資格情報更新","管理者"
"fun-033","割り当て","自動割り当て機能","競技会、コース、審判を自動で割り当てる。","競技会ID","割り当て結果","管理者"
"fun-034","採点","ペナルティ設定","競技におけるペナルティを設定する。","ペナルティ内容、点数","ペナルティ設定","管理者"
"fun-035","集計","チーム別成績集計","チームごとの成績を集計する。","競技会ID、チームID","チーム別集計結果","管理者"
"fun-036","表示","競技会概要表示","競技会の概要情報を表示する。","競技会ID","競技会概要","ユーザー"
"fun-037","管理","アクセス制御","システムへのアクセス制御を行う。","ユーザーID、権限","アクセス許可","管理者"
"fun-038","コース管理","コース難易度設定","コースの難易度を設定する。","コースID、難易度","難易度設定","管理者"
"fun-039","審判管理","審判担当競技設定","審判が担当できる競技を設定する。","審判ID、競技ID","担当競技設定","管理者"
"fun-040","割り当て","割り当ての優先順位設定","割り当ての優先順位を設定する。","割り当て条件、優先度","優先順位設定","管理者"
"fun-041","採点","採点基準表示","採点基準を表示する。","競技会ID","採点基準","審判"
"fun-042","集計","統計情報表示","競技に関する統計情報を表示する。","競技会ID","統計情報","管理者"
"fun-043","表示","通知機能","競技会に関する通知を表示する。","通知内容","通知表示","ユーザー"
"fun-044","管理","エラーログ表示","システムのエラーログを表示する。","期間","エラーログ","管理者"
"fun-045","コース管理","コースバージョン管理","コースのバージョンを管理する。","コースID, バージョン","コースバージョン","管理者"
"fun-046","審判管理","審判の研修履歴管理","審判の研修履歴を管理する。","審判ID","研修履歴","管理者"
"fun-047","割り当て","割り当ての競合チェック","割り当ての競合をチェックする。","割り当て情報","競合情報","管理者"
"fun-048","採点","採点時のコメント機能","採点時にコメントを記入できるようにする。","採点情報, コメント","コメント付き採点情報","審判"
"fun-049","集計","詳細な分析レポート生成","詳細な分析レポートを生成する。","競技会ID","分析レポート","管理者"
"fun-050","表示","ヘルプ機能","システムのヘルプを表示する。","ヘルプ項目","ヘルプ情報","ユーザー"
"fun-051","管理","監査ログ","セキュリティ監査用のログ記録。","なし","監査ログ","管理者"
"fun-052","API","外部API連携","外部の採点システム、ランキングサイトとの連携。","APIキー、データ","連携データ","システム"
"fun-053","競技会管理","競技会の状態管理","競技会が開催前、開催中、終了済みなどの状態を管理。","競技会ID、状態","競技会の状態","管理者"
"fun-054","表示","競技会に関する画像/動画の表示","競技会に関連する画像/動画を表示する。","画像/動画","競技会に関連する画像/動画","システム"
"fun-055","認証","パスワードリセット機能","パスワードリセット機能","ユーザーID、メールアドレス","パスワードリセット","ユーザー"